id_estudiante,semestre,edad,sexo,departamento_origen,zona_origen,estrato,tipo_colegio,percentil_saber11,programa,trabaja,horas_trabajo_semana,personas_a_cargo,ingreso_hogar_smlmv,apoyo_financiero,fuente_financiacion,tiempo_desplazamiento_min,creditos_matriculados,promedio_academico,asistencia_pct,actividad_lms_pct,materias_perdidas,materias_canceladas,mora_financiera,acompanamiento_bienestar,creditos_prev_matriculados,creditos_prev_aprobados,pct_creditos_prev_aprobados,probabilidad_latente_desercion,deserta_siguiente_periodo
EST-00030,1,25,Hombre,Norte de Santander,Urbana,3,Oficial,48,Enfermería,Sí,20,0,4.01,No,Crédito educativo,26,18,2.62,82.6,49,0,0,No,Sí,,,,0.2146,No
EST-00031,2,37,Mujer,Cundinamarca,Urbana,3,Oficial,14,Negocios Internacionales,Sí,43,2,1.52,No,Beca / subsidio,59,18,1.78,82.7,38,1,0,No,Sí,18,17,94.4,0.4672,No
EST-00032,1,21,Mujer,Bogotá D.C.,Urbana,2,Oficial,56,Contaduría,No,0,1,2,Sí,Recursos familiares,47,15,4.21,100,84,0,0,No,No,,,,0.033,No
EST-00033,1,33,Mujer,Bogotá D.C.,Urbana,3,Oficial,55,Psicología,Sí,40,0,2.31,No,Recursos familiares,65,15,2.45,80.1,41,0,0,No,No,,,,0.3574,Sí
EST-00034,2,17,Mujer,Magdalena,Urbana,3,Oficial,67,Ingeniería de Sistemas,No,0,0,3.04,No,Crédito educativo,76,18,2.63,89.8,82,1,0,No,No,20,19,95,0.2052,Sí
EST-00035,2,19,Mujer,Otro,Rural,2,Privado,43,Diseño,No,0,0,1.27,No,Mixto,88,18,3.96,81,83,0,0,No,No,14,14,100,0.0904,No
EST-00036,2,19,Hombre,Antioquia,Urbana,1,Oficial,52,Contaduría,No,0,0,0.99,Sí,Crédito educativo,47,17,3.6,94.3,63,0,0,No,No,14,14,100,0.057,No
EST-00037,2,19,Mujer,Valle del Cauca,Urbana,2,Oficial,44,Ingeniería de Sistemas,No,0,0,0.64,No,Crédito educativo,57,18,3.22,86.4,66,0,0,No,No,20,19,95,0.114,No
EST-00038,1,17,Hombre,Valle del Cauca,Urbana,1,Oficial,39,Derecho,Sí,6,0,0.81,Sí,Recursos familiares,44,20,3.28,100,63,0,0,No,No,,,,0.0564,No
EST-00039,2,16,Mujer,Bogotá D.C.,Urbana,1,Oficial,42,Contaduría,No,0,0,1.22,Sí,Beca / subsidio,52,14,3.33,95.9,76,0,0,No,No,20,19,95,0.0558,No
EST-00040,1,19,Mujer,Bogotá D.C.,Urbana,5,Privado,72,Contaduría,No,0,0,6.2,No,Beca / subsidio,46,20,2.78,89.9,75,0,0,No,No,,,,0.1417,No
EST-00041,1,22,Hombre,Córdoba,Urbana,2,Oficial,47,Administración,Sí,26,0,1.77,No,Crédito educativo,15,20,3.88,96.7,73,0,0,No,No,,,,0.1117,No
EST-00042,1,21,Hombre,Norte de Santander,Urbana,2,Privado,16,Negocios Internacionales,No,0,0,1.25,No,Mixto,65,16,3.78,91.9,72,0,0,Sí,No,,,,0.1822,No
EST-00043,1,19,Mujer,Cauca,Urbana,2,Oficial,64,Diseño,Sí,22,0,2.08,No,Recursos familiares,55,18,4.2,88.4,100,0,0,No,No,,,,0.0893,No
EST-00044,1,19,Mujer,Bolívar,Rural,3,Privado,28,Derecho,No,0,0,2.98,No,Mixto,81,18,2.92,85.6,80,0,0,Sí,No,,,,0.2386,No
EST-00045,1,32,Hombre,Bogotá D.C.,Urbana,1,Oficial,47,Administración,No,0,0,1.07,Sí,Mixto,61,17,3.13,77.5,65,0,0,No,No,,,,0.099,No
EST-00046,1,19,Mujer,Bolívar,Urbana,3,Oficial,56,Contaduría,No,0,0,1.2,No,Mixto,29,18,2.32,88.3,77,0,0,No,No,,,,0.1702,No
EST-00047,2,17,Hombre,Antioquia,Urbana,2,Oficial,45,Administración,No,0,0,1.32,Sí,Mixto,23,16,3.33,92.1,73,1,0,No,No,20,18,90,0.0685,No
EST-00048,1,26,Hombre,Bogotá D.C.,Urbana,3,Oficial,63,Administración,No,0,0,3.92,No,Recursos familiares,60,19,3.22,90.6,76,0,0,No,Sí,,,,0.0817,Sí
EST-00049,1,19,Hombre,Bogotá D.C.,Urbana,2,Oficial,54,Ingeniería Industrial,No,0,0,1.15,No,Recursos familiares,77,14,3.15,91.2,79,0,0,No,No,,,,0.1478,No
EST-00050,1,19,Hombre,Bogotá D.C.,Urbana,2,Oficial,34,Ingeniería Industrial,No,0,0,2.83,No,Recursos familiares,54,19,2.98,89.9,89,0,0,No,No,,,,0.1642,No
EST-00051,1,21,Mujer,Risaralda,Urbana,2,Oficial,71,Ingeniería Industrial,No,0,0,1.2,No,Beca / subsidio,41,18,3.17,87.2,55,1,0,Sí,No,,,,0.34,No
EST-00052,2,18,Hombre,Nariño,Urbana,1,Oficial,57,Contaduría,No,0,0,1.26,No,Crédito educativo,48,18,3.64,95.3,100,0,0,No,No,18,18,100,0.0782,No
EST-00053,2,20,Mujer,Bogotá D.C.,Urbana,3,Oficial,88,Negocios Internacionales,Sí,20,0,4.47,Sí,Beca / subsidio,8,17,2.9,95.9,78,0,0,No,No,18,18,100,0.1047,No
EST-00054,1,21,Mujer,Bogotá D.C.,Urbana,2,Oficial,70,Enfermería,No,0,0,1.45,No,Recursos familiares,55,15,4.37,89.4,65,0,0,No,No,,,,0.111,No
EST-00055,1,26,Hombre,Atlántico,Urbana,2,Oficial,42,Enfermería,No,0,0,0.93,Sí,Crédito educativo,41,16,2.22,75.9,78,1,0,No,No,,,,0.1873,No
EST-00056,1,19,Mujer,Cauca,Urbana,3,Privado,86,Administración,No,0,0,3.17,No,Mixto,41,18,3.37,83,54,0,0,No,No,,,,0.0771,Sí
EST-00057,2,19,Hombre,Cesar,Urbana,1,Oficial,37,Derecho,No,0,0,0.98,Sí,Beca / subsidio,35,18,2.71,83.4,38,1,0,No,No,18,17,94.4,0.1069,No
EST-00058,1,19,Hombre,Bogotá D.C.,Urbana,1,Oficial,57,Ingeniería de Sistemas,No,0,0,1.35,No,Recursos familiares,95,14,3.51,86.6,77,0,0,No,No,,,,0.1381,No
EST-00059,1,20,Hombre,Córdoba,Urbana,3,Oficial,30,Contaduría,No,0,0,2.04,No,Crédito educativo,56,15,2.81,94.1,48,0,0,No,No,,,,0.1342,No
EST-00060,2,20,Mujer,Valle del Cauca,Urbana,3,Oficial,57,Negocios Internacionales,No,0,0,2.87,No,Beca / subsidio,24,15,3.02,87,65,0,0,No,No,20,20,100,0.0822,No
EST-00061,1,20,Hombre,Antioquia,Urbana,2,Privado,49,Negocios Internacionales,Sí,48,0,1.79,No,Recursos familiares,31,20,3.52,78.3,68,0,2,No,No,,,,0.3163,Sí
EST-00062,2,35,Mujer,Bogotá D.C.,Urbana,3,Oficial,96,Comunicación,Sí,48,0,1.81,No,Recursos familiares,35,19,3.88,92.2,63,0,0,No,No,16,16,100,0.0672,No
EST-00063,2,19,Hombre,Otro,Urbana,2,Oficial,40,Contaduría,No,0,0,1,No,Recursos familiares,48,16,3.36,82.2,82,0,0,No,No,20,20,100,0.1217,No
EST-00064,1,21,Hombre,Nariño,Urbana,2,Oficial,48,Ingeniería de Sistemas,No,0,0,0.87,No,Crédito educativo,25,15,2.09,82.8,70,2,0,Sí,Sí,,,,0.5547,No
EST-00065,2,23,Hombre,Atlántico,Urbana,3,Privado,56,Administración,No,0,1,2.05,No,Recursos familiares,5,16,3.39,100,64,0,0,No,No,14,13,92.9,0.0657,No
EST-00066,2,18,Hombre,Antioquia,Rural,2,Oficial,19,Derecho,No,0,0,1.89,No,Recursos familiares,85,16,2.64,92,62,0,0,No,No,18,17,94.4,0.2217,No
EST-00067,1,24,Hombre,Córdoba,Rural,4,Privado,43,Ingeniería Industrial,Sí,19,0,2.84,No,Recursos familiares,30,20,2.46,90,68,0,0,No,Sí,,,,0.1651,No
EST-00068,2,19,Hombre,Bolívar,Urbana,1,Privado,44,Contaduría,No,0,0,0.98,Sí,Mixto,39,20,4.01,90,85,0,0,No,No,18,17,94.4,0.01,No
EST-00069,2,24,Hombre,Bogotá D.C.,Urbana,2,Privado,49,Derecho,Sí,28,1,1.05,No,Crédito educativo,48,17,3.28,90.1,63,1,0,No,No,18,17,94.4,0.2008,Sí
EST-00070,1,24,Hombre,Santander,Urbana,1,Privado,51,Negocios Internacionales,No,0,0,1.02,Sí,Mixto,65,16,3.85,89.3,97,0,0,No,No,,,,0.0451,No
EST-00071,2,19,Mujer,Valle del Cauca,Urbana,2,Oficial,54,Contaduría,No,0,0,1.42,No,Recursos familiares,64,18,3.06,91.6,76,0,0,No,No,20,20,100,0.1055,No
EST-00072,1,18,Hombre,Valle del Cauca,Urbana,4,Privado,72,Ingeniería de Sistemas,No,0,0,6.23,Sí,Mixto,19,19,3.85,100,98,0,0,No,No,,,,0.0499,No
EST-00073,1,19,Mujer,Antioquia,Urbana,3,Oficial,35,Comunicación,No,0,0,1.38,No,Recursos familiares,35,18,2.76,93.8,50,2,0,Sí,No,,,,0.3594,No
EST-00074,2,17,Hombre,Antioquia,Rural,1,Oficial,48,Derecho,Sí,4,0,0.76,Sí,Mixto,97,15,3.07,93.1,91,0,0,No,No,20,20,100,0.0947,No
EST-00075,2,21,Mujer,Bogotá D.C.,Urbana,2,Privado,80,Negocios Internacionales,Sí,33,0,2.34,No,Recursos familiares,53,15,3.21,91.9,85,2,1,No,No,18,13,72.2,0.2032,No
EST-00076,1,18,Mujer,Huila,Urbana,3,Oficial,70,Administración,No,0,0,2.2,Sí,Recursos familiares,52,16,3.73,87.9,81,0,0,No,Sí,,,,0.0386,Sí
EST-00077,1,24,Mujer,Cundinamarca,Urbana,3,Oficial,68,Negocios Internacionales,Sí,36,0,2.06,No,Recursos familiares,5,14,3.7,86.8,55,1,0,No,No,,,,0.1463,Sí
EST-00078,1,18,Mujer,Cauca,Urbana,1,Oficial,31,Ingeniería de Sistemas,No,0,0,1.15,Sí,Mixto,51,19,3.14,84.3,88,0,0,No,No,,,,0.0739,No
EST-00079,2,20,Mujer,Santander,Rural,1,Oficial,22,Ingeniería de Sistemas,No,0,2,0.72,Sí,Beca / subsidio,155,14,2.76,82.7,94,0,0,Sí,No,18,18,100,0.2902,No
EST-00080,1,20,Hombre,Otro,Urbana,4,Privado,60,Administración,No,0,0,3.37,No,Crédito educativo,42,19,4.24,97.2,74,0,0,No,No,,,,0.0781,No
EST-00081,2,19,Hombre,Santander,Urbana,2,Privado,33,Comunicación,No,0,0,1.67,Sí,Crédito educativo,47,16,3.76,87.1,70,0,0,No,No,18,18,100,0.0465,No
EST-00082,1,21,Mujer,Atlántico,Urbana,6,Privado,61,Negocios Internacionales,No,0,0,7.84,No,Recursos familiares,59,18,3.7,87.9,68,0,0,Sí,No,,,,0.141,No
EST-00083,2,17,Mujer,Valle del Cauca,Urbana,2,Privado,65,Diseño,Sí,17,0,2.7,No,Recursos familiares,38,18,3.71,95.8,93,0,0,No,No,18,18,100,0.102,No
EST-00084,2,18,Mujer,Risaralda,Urbana,3,Oficial,45,Derecho,No,0,0,2.1,Sí,Recursos familiares,5,16,3.4,86.3,94,0,0,No,No,16,16,100,0.0202,No
EST-00085,1,18,Hombre,Cauca,Urbana,2,Privado,37,Administración,No,0,0,1.33,No,Recursos familiares,74,19,2.5,74.7,65,1,0,No,No,,,,0.3712,No
EST-00086,1,18,Mujer,Quindío,Urbana,2,Oficial,16,Administración,Sí,10,0,1.89,Sí,Mixto,15,20,2.66,96.2,83,0,0,No,No,,,,0.115,No
EST-00087,2,25,Hombre,Caldas,Urbana,3,Oficial,60,Psicología,No,0,0,1.73,No,Recursos familiares,29,16,3.17,89.1,84,0,0,No,No,18,18,100,0.0891,No
EST-00088,1,19,Hombre,Bogotá D.C.,Urbana,2,Oficial,51,Contaduría,Sí,4,0,1.44,No,Crédito educativo,47,18,2.85,92.8,65,0,0,Sí,No,,,,0.2909,Sí
EST-00089,1,22,Mujer,Valle del Cauca,Urbana,3,Privado,29,Administración,No,0,0,4.8,No,Mixto,19,18,4.03,100,77,0,0,No,No,,,,0.085,No
EST-00090,2,17,Mujer,Antioquia,Urbana,5,Oficial,69,Psicología,No,0,0,7.14,No,Beca / subsidio,36,18,2.94,89.1,38,3,0,No,Sí,16,11,68.8,0.3206,No
EST-00091,2,21,Hombre,Atlántico,Rural,3,Oficial,51,Diseño,No,0,1,2.59,No,Mixto,79,18,3.25,79.4,94,1,0,No,No,18,16,88.9,0.162,No
EST-00092,1,18,Hombre,Atlántico,Urbana,2,Oficial,49,Ingeniería de Sistemas,No,0,0,0.64,Sí,Recursos familiares,54,18,2.84,93.4,52,0,0,Sí,No,,,,0.1206,No
EST-00093,1,19,No binario / otro,Bogotá D.C.,Urbana,3,Oficial,34,Administración,No,0,0,3.35,No,Crédito educativo,40,20,3.51,83.5,86,0,0,No,Sí,,,,0.0341,No
EST-00094,2,20,Mujer,Bogotá D.C.,Urbana,3,Privado,56,Contaduría,No,0,0,2.07,No,Mixto,62,19,3.99,89.3,75,0,0,No,No,18,18,100,0.0409,No
EST-00095,1,21,Mujer,Tolima,Urbana,3,Oficial,63,Contaduría,No,0,0,1.68,No,Recursos familiares,47,16,3.55,87.7,61,0,0,No,No,,,,0.0941,No
EST-00096,1,21,Hombre,Bogotá D.C.,Urbana,2,Oficial,23,Enfermería,No,0,0,1.97,No,Crédito educativo,67,18,2.49,88,53,1,0,No,No,,,,0.2755,No
EST-00097,1,24,Hombre,Valle del Cauca,Urbana,1,Oficial,32,Ingeniería de Sistemas,No,0,0,0.73,No,Crédito educativo,78,20,3.44,86.5,63,0,0,Sí,No,,,,0.2368,No
EST-00098,2,24,Mujer,Valle del Cauca,Urbana,4,Privado,63,Psicología,Sí,13,0,3.15,No,Beca / subsidio,42,16,3.47,88,60,0,0,No,No,16,16,100,0.0927,Sí
EST-00099,1,18,Hombre,Risaralda,Urbana,3,Oficial,35,Comunicación,No,0,0,3.59,No,Recursos familiares,37,18,3.19,87.7,78,0,0,No,No,,,,0.0971,No
EST-00100,2,17,No binario / otro,Santander,Urbana,3,Privado,95,Ingeniería de Sistemas,No,0,0,3.95,Sí,Recursos familiares,33,18,3.13,88.2,48,0,0,No,No,18,18,100,0.0494,No
EST-00101,1,20,Mujer,Bogotá D.C.,Urbana,3,Oficial,69,Psicología,No,0,0,2.67,No,Recursos familiares,44,20,3.46,85.2,67,0,0,No,No,,,,0.0633,No
EST-00102,1,20,Hombre,Tolima,Rural,3,Oficial,5,Psicología,No,0,0,2.49,Sí,Mixto,61,18,2.59,88.7,36,0,0,No,No,,,,0.1926,No
EST-00103,1,18,Hombre,Cundinamarca,Urbana,5,Privado,58,Comunicación,No,0,0,6.84,No,Crédito educativo,30,18,3.1,77.9,61,2,1,No,No,,,,0.2829,No
EST-00104,1,19,Mujer,Atlántico,Urbana,3,Oficial,70,Diseño,No,0,0,3.69,Sí,Mixto,52,18,3.83,90.8,65,0,1,No,No,,,,0.0709,No
EST-00105,1,19,Hombre,Valle del Cauca,Urbana,2,Oficial,71,Psicología,Sí,17,0,1.51,No,Mixto,50,16,3.71,100,92,0,0,No,No,,,,0.0768,No
EST-00106,2,20,Hombre,Meta,Urbana,1,Oficial,36,Comunicación,No,0,0,1.13,No,Recursos familiares,37,17,3.1,86.8,92,4,0,Sí,Sí,16,9,56.2,0.5323,Sí
EST-00107,2,18,Hombre,Otro,Urbana,1,Oficial,47,Diseño,Sí,4,0,0.49,No,Mixto,56,17,2.87,90.8,52,1,0,No,No,14,11,78.6,0.1841,No
EST-00108,1,21,Mujer,Tolima,Urbana,3,Oficial,46,Comunicación,No,0,0,2.06,No,Beca / subsidio,71,15,3.25,97.9,70,0,0,No,No,,,,0.0578,Sí
EST-00109,1,18,Mujer,Cauca,Urbana,2,Oficial,99,Ingeniería de Sistemas,No,0,0,2.36,No,Crédito educativo,33,18,4.19,100,97,0,0,Sí,No,,,,0.1512,No
EST-00110,1,20,Mujer,Antioquia,Urbana,3,Oficial,60,Diseño,Sí,23,1,2.17,No,Beca / subsidio,40,17,3.81,90.7,76,0,0,No,No,,,,0.0614,No
EST-00111,1,18,Hombre,Antioquia,Urbana,2,Oficial,34,Enfermería,No,0,1,1.1,No,Beca / subsidio,48,18,3.44,100,69,0,0,No,No,,,,0.1229,No
EST-00112,2,37,Mujer,Valle del Cauca,Urbana,3,Privado,26,Negocios Internacionales,No,0,2,3.29,No,Recursos familiares,39,19,2.85,91.1,88,0,0,No,No,16,16,100,0.1317,No
EST-00113,2,20,Mujer,Atlántico,Urbana,2,Privado,51,Ingeniería de Sistemas,No,0,0,3.2,Sí,Beca / subsidio,29,18,3.12,100,68,0,0,No,No,18,18,100,0.0888,No
EST-00114,2,17,Hombre,Caldas,Urbana,2,Oficial,30,Ingeniería de Sistemas,No,0,0,1.95,No,Crédito educativo,21,16,3.27,92,61,0,0,No,No,20,20,100,0.0994,No
EST-00115,2,25,Mujer,Cesar,Rural,5,Oficial,47,Enfermería,Sí,19,0,9.49,No,Beca / subsidio,74,17,3.48,81.1,61,0,0,Sí,No,16,16,100,0.1555,No
EST-00116,2,21,Mujer,Antioquia,Urbana,1,Oficial,49,Negocios Internacionales,No,0,0,1.28,Sí,Beca / subsidio,11,18,3.86,93.4,99,0,0,No,No,16,16,100,0.0388,No
EST-00117,1,21,Mujer,Otro,Rural,2,Privado,91,Derecho,No,0,1,1.35,Sí,Beca / subsidio,72,18,4.26,99.2,95,0,0,No,No,,,,0.0525,No
EST-00118,2,20,Mujer,Santander,Urbana,2,Privado,18,Administración,Sí,26,0,0.87,No,Recursos familiares,64,18,2.95,88.7,69,0,0,No,No,18,18,100,0.1168,No
EST-00119,1,22,Hombre,Santander,Urbana,2,Oficial,47,Diseño,No,0,0,1.8,Sí,Recursos familiares,19,14,3.32,91.9,79,0,0,No,No,,,,0.0559,No
EST-00120,1,20,Mujer,Antioquia,Rural,3,Oficial,40,Derecho,No,0,0,2.87,No,Mixto,33,16,3.45,93.1,68,0,0,No,No,,,,0.0939,No
EST-00121,2,19,Mujer,Santander,Urbana,2,Oficial,35,Psicología,No,0,0,1.22,Sí,Beca / subsidio,78,18,3.58,83.6,76,0,0,No,No,18,18,100,0.0693,No
EST-00122,2,22,Mujer,Santander,Urbana,2,Oficial,59,Ingeniería Industrial,No,0,0,1.7,Sí,Mixto,13,16,2.96,82,74,1,0,No,Sí,18,16,88.9,0.0794,No
EST-00123,1,18,Hombre,Bogotá D.C.,Urbana,3,Oficial,90,Enfermería,Sí,20,0,2.64,No,Crédito educativo,88,16,3.18,83.6,69,1,0,No,No,,,,0.2211,No
EST-00124,1,24,Mujer,Cundinamarca,Urbana,3,Oficial,45,Ingeniería de Sistemas,No,0,0,1.98,No,Mixto,44,15,3.51,88,69,0,0,No,No,,,,0.088,Sí
EST-00125,1,21,Hombre,Risaralda,Urbana,2,Privado,75,Administración,Sí,46,0,0.93,Sí,Crédito educativo,14,20,3.24,76.8,46,0,1,No,No,,,,0.1546,No
EST-00126,2,19,Hombre,Cundinamarca,Rural,1,Oficial,47,Comunicación,Sí,26,0,0.66,No,Recursos familiares,73,20,3.21,89.2,81,0,0,Sí,No,18,18,100,0.2123,No
EST-00127,2,19,Mujer,Otro,Urbana,2,Oficial,41,Psicología,No,0,0,1.59,Sí,Beca / subsidio,19,16,3.41,96.1,70,0,0,No,No,18,18,100,0.012,No
EST-00128,2,20,Hombre,Caldas,Urbana,1,Oficial,54,Administración,Sí,20,0,1.09,Sí,Recursos familiares,13,19,3.32,90.6,72,1,0,No,No,18,17,94.4,0.0392,Sí
EST-00129,2,20,Hombre,Norte de Santander,Urbana,1,Oficial,77,Negocios Internacionales,Sí,20,0,0.75,No,Crédito educativo,15,18,3.46,96.7,59,0,0,No,No,16,16,100,0.1077,No
EST-00130,2,17,Mujer,Bogotá D.C.,Urbana,1,Oficial,53,Enfermería,No,0,0,1.04,No,Recursos familiares,36,19,2.98,85.2,70,0,0,No,No,18,17,94.4,0.1209,No
EST-00131,1,20,Mujer,Atlántico,Urbana,3,Oficial,74,Administración,No,0,0,3.49,No,Recursos familiares,16,19,4.1,93.2,84,0,0,No,No,,,,0.0727,No
EST-00132,2,18,Hombre,Cauca,Urbana,2,Oficial,61,Ingeniería Industrial,Sí,32,0,1.86,Sí,Mixto,9,18,3.31,82,66,2,0,No,No,18,13,72.2,0.1611,No
EST-00133,1,20,Hombre,Risaralda,Urbana,2,Oficial,46,Enfermería,Sí,33,0,0.63,No,Crédito educativo,71,16,3.6,93.4,59,0,0,Sí,No,,,,0.3062,No
EST-00134,2,25,Hombre,Meta,Urbana,1,Oficial,46,Ingeniería de Sistemas,No,0,0,1.59,No,Crédito educativo,56,17,4.41,91.8,67,0,0,Sí,No,16,15,93.8,0.1339,No
EST-00135,1,19,Mujer,Risaralda,Urbana,2,Oficial,35,Ingeniería de Sistemas,No,0,0,0.89,No,Crédito educativo,55,16,2.68,92,61,1,0,No,No,,,,0.3248,Sí
EST-00136,1,20,Hombre,Cauca,Urbana,3,Oficial,53,Negocios Internacionales,No,0,0,3.3,No,Recursos familiares,12,20,3.28,93,54,0,0,No,No,,,,0.066,No
EST-00137,1,19,Mujer,Bogotá D.C.,Urbana,2,Oficial,64,Contaduría,No,0,0,1.59,No,Crédito educativo,63,20,3.25,100,64,0,1,No,No,,,,0.1518,No
EST-00138,1,19,Mujer,Valle del Cauca,Urbana,2,Oficial,63,Derecho,No,0,0,1.04,Sí,Recursos familiares,26,20,3.43,87.3,92,0,0,No,Sí,,,,0.0911,No
